6.2,6.9,80,1.5,17,19,9,10,1027.6,0,0.120333333
6.6,7.5,84,1.2,15,17,8,9,1027.9,0,-0.33
6.5,7.3,83,1.3,15,17,8,9,1028.3,0,-0.5115
6.5,7.3,83,1.3,15,17,8,9,1028.6,0,-0.361
6.8,7.5,85,1.1,13,17,7,9,1028.8,0,-0.512833333
7.6,7.6,85,1.1,9,13,5,7,1029,0,-0.810833333
7.5,7.3,84,1.2,9,13,5,7,1029,0,-0.806166667
7.5,7.3,84,1.2,9,13,5,7,1029,0,-0.801833333
7.4,6.7,84,1.2,6,11,3,6,1028.9,0,-0.774833333
7.6,7,87,1,4,7,2,4,1029,0,-0.787166667
8.4,6.9,84,1.2,2,6,1,3,1028.9,0,-0.784666667
7.6,7.1,85,1.1,6,9,3,5,1029,0.2,-0.7925
9,7.3,85,1.1,0,0,0,0,1029,0.2,-0.784
9,7.3,85,1.1,0,0,0,0,1028.9,0.2,-0.764166667
8.5,7.2,88,0.9,0,0,0,0,1028.8,0.2,-0.752333333
8.3,7.1,88,0.9,0,0,0,0,1028.7,0.2,-0.749666667
7.5,6.3,87,0.9,0,0,0,0,1028.5,0.2,-0.753166667
6.1,6.5,89,0.8,7,9,4,5,1028.4,0.2,-0.751
5.1,6.5,90,0.7,11,11,6,6,1028.4,0.2,-0.753833333
4.3,6.6,91,0.6,15,17,8,9,1028.4,0.2,-0.766166667
4.3,6.6,91,0.6,15,17,8,9,1028.6,0.2,-0.774333333
3.7,6.6,93,0.5,17,19,9,10,1028.7,0.2,-0.620333333
3.2,6.5,93,0.5,19,20,10,11,1029.1,0.2,0.853166667
3.2,6.7,94,0.4,19,20,10,11,1029.3,0.2,2.606335
3.8,7,93,0.5,19,19,10,10,1029.6,0.2,3.524003333
4.4,7.7,95,0.4,19,20,10,11,1029.8,0.2,4.223501667
5.7,8.3,93,0.5,17,20,9,11,1030.2,0.2,3.600341667
6.9,8.7,93,0.5,13,17,7,9,1030.4,0.2,1.453835
7.8,9.5,92,0.6,15,19,8,10,1030.5,0.2,1.399336667
8.6,9.5,87,1,15,19,8,10,1030.6,0.2,5.924171667
9.8,9.4,80,1.7,15,22,8,12,1030.5,0,8.115508333
9.3,8.2,73,2.3,17,24,9,13,1030.6,0,9.765005
9.8,8.7,71,2.6,20,28,11,15,1030.3,0,13.51733667
10,6.9,61,3.6,19,24,10,13,1029.9,0,13.66350667
10.3,7,60,3.7,19,26,10,14,1029.9,0,12.29984
8.1,7.7,66,3.1,28,35,15,19,1029.3,0,19.210675
8.6,8.2,68,2.9,26,37,14,20,1029.1,0,21.005675
8.3,8.9,72,2.5,28,35,15,19,1028.9,0,27.52317167
7.3,8,69,2.7,30,39,16,21,1028.7,0,32.28184333
7.5,8.4,72,2.4,28,37,15,20,1028.5,0,36.59750833
7.5,8.4,72,2.4,28,41,15,22,1028.3,0,42.339005
6.2,8.2,73,2.3,33,41,18,22,1028.1,0,48.663675
5.3,7.9,74,2.2,35,44,19,24,1027.8,0,52.53750833
5.3,8.1,77,1.9,33,43,18,23,1027.8,0,56.32067333
4,7.3,76,1.9,35,46,19,25,1027.6,0,54.143675
3.3,7.6,80,1.6,37,43,20,23,1027.7,0,46.95200667
3.4,7.5,81,1.5,35,43,19,23,1027.9,0,56.89683667
2,7.5,82,1.4,41,50,22,27,1027.9,0,63.73367333
2.5,7.2,82,1.4,37,44,20,24,1028.1,0,66.42267167
2.4,6.9,80,1.5,37,44,20,24,1028.2,0,74.03134
2.2,6.4,78,1.7,37,44,20,24,1028.6,0,78.41217167
2.7,6,75,2,35,41,19,22,1028.7,0,87.586175
2.6,5.8,74,2,35,43,19,23,1028.6,0,88.63167333
2.9,6.1,75,2,35,44,19,24,1028.7,0,97.279675
3.1,6.3,73,2.2,37,43,20,23,1028.8,0,95.534175
3,6.5,73,2.2,39,46,21,25,1028.5,0,94.147675
3.5,7.6,79,1.7,37,44,20,24,1028.1,0,85.815675
2.5,7.9,82,1.4,41,46,22,25,1027.9,0,85.44300833
2.3,7.7,82,1.4,41,48,22,26,1027.7,0,81.335005
2.1,8,86,1.1,41,46,22,25,1027.7,0,78.98651
3.5,8.6,86,1.1,37,43,20,23,1027.7,0,76.27884
4.4,9.2,87,1,35,41,19,22,1027.5,0,83.711505
4.1,9.3,87,1,37,46,20,25,1027.5,0,84.95417333
4,9.8,90,0.8,39,44,21,24,1027.2,0,81.79017333
4.3,10.1,92,0.6,37,46,20,25,1027.2,0,87.07184167
4.5,9.9,90,0.8,37,48,20,26,1027.1,0,87.615175
4.2,10.1,91,0.7,39,46,21,25,1027,0,83.11117333
4.6,10.3,92,0.6,37,46,20,25,1026.9,0,86.72700667
4.2,10.3,92,0.6,39,46,21,25,1027,0,84.13917167
3,10.7,95,0.4,46,56,25,30,1027.2,0,83.91400667
3.8,10.9,95,0.4,43,50,23,27,1027.4,0,92.83850667
4.5,11.1,95,0.4,41,50,22,27,1027.6,0,97.538675
5.3,11,94,0.5,37,50,20,27,1028,0,97.26000667
5.2,11.2,94,0.5,39,50,21,27,1028.1,0,88.49167333
5.3,11.2,93,0.6,39,52,21,28,1028.3,0,86.85267167
6.2,11.5,92,0.7,37,48,20,26,1028.2,0,79.64184167
5.8,11.6,93,0.6,39,48,21,26,1028.3,0,80.42801
6.5,12,94,0.5,37,46,20,25,1028.3,0,69.25750833
7.2,11.9,89,0.9,37,50,20,27,1028,0,55.20867333
8.6,12,82,1.6,37,46,20,25,1027.3,0,48.64317333
8.7,12,82,1.7,37,48,20,26,1027.1,0,47.50434333
8.9,12,78,2,39,44,21,24,1026.7,0,53.73550667
8.9,12.2,78,2.1,41,48,22,26,1026.4,0,55.41617167
8.7,12,79,1.9,39,48,21,26,1026.2,0,49.60967333
8,11.9,81,1.8,41,50,22,27,1025.8,0,49.23350667
8.6,12.2,82,1.7,39,50,21,27,1025.5,0,61.36917333
8.2,12,84,1.4,37,44,20,24,1025.4,0,82.96083667
7.1,11.7,88,1,37,46,20,25,1025.2,0,87.81100667
6.5,11.8,91,0.8,39,46,21,25,1024.9,0,85.14101
4.4,11.2,94,0.5,43,54,23,29,1024.8,0,97.68967333
4,11,94,0.5,44,52,24,28,1024.7,0,81.56600333
3.6,10.9,95,0.4,44,52,24,28,1024.4,0,82.15901
2.9,10.8,96,0.3,46,57,25,31,1024.4,0,78.737505
3.6,10.9,96,0.3,43,50,23,27,1024.7,0,93.80617167
3.7,10.8,95,0.4,43,52,23,28,1024.7,0,115.7365067
5.2,11.1,95,0.4,37,48,20,26,1024.7,0,101.6020083
3.7,11.5,95,0.4,48,61,26,33,1024.1,0,95.74900833
2.7,11.5,96,0.3,52,67,28,36,1024.2,0,96.69400833
2.8,11.3,96,0.3,50,59,27,32,1023.9,0,95.172005
3.5,11.7,97,0.2,48,61,26,33,1023.8,0,90.70367667
4.7,11.9,96,0.3,44,57,24,31,1023.7,0,96.380505
4.8,12.1,97,0.2,44,56,24,30,1023,0,104.5026733
4.5,12,96,0.3,46,56,25,30,1022.9,0,102.390675
4.6,12.1,96,0.3,46,59,25,32,1022.6,0,99.68983833
4.7,12.1,95,0.4,46,59,25,32,1022.2,0,100.6891767
5.1,12.1,95,0.4,44,56,24,30,1022.4,0,97.77634
5.9,12,95,0.4,39,48,21,26,1022.1,0,85.01234167
5.4,11.8,95,0.4,41,54,22,29,1021.8,0,78.94150167
5.2,11.8,96,0.3,41,48,22,26,1021.6,0,79.57717333
5,11.7,96,0.3,41,50,22,27,1021.5,0,81.27250667
5,11.7,96,0.3,41,50,22,27,1021.2,0,71.12617333
5.5,11.6,95,0.4,39,50,21,27,1021,0,73.59817167
6.6,11.7,96,0.3,33,41,18,22,1020.9,0,91.44800833
5.7,11.5,95,0.4,37,44,20,24,1021,0,86.97700833
5.4,11.7,96,0.3,39,48,21,26,1020.6,0,80.31884167
6.6,11.7,96,0.3,33,43,18,23,1020.5,0,67.73817333
5.9,11.6,95,0.4,37,48,20,26,1020.7,0,60.52217167
6,11.7,95,0.4,37,46,20,25,1020.6,0,55.05183667
7.1,11.9,94,0.5,33,43,18,23,1020.5,0,56.67967333
9.3,12.6,88,1.1,32,44,17,24,1020.6,0,48.70284167
8.9,11.8,86,1.2,30,37,16,20,1020.5,0,42.249675
9.8,11.8,85,1.3,26,39,14,21,1020.5,0,38.82984333
11.2,12,83,1.5,22,32,12,17,1020.4,0,45.11500667
10.4,11.3,81,1.7,24,35,13,19,1020.1,0,54.33417167
11.6,11.3,76,2.2,22,37,12,20,1019.8,0,73.43634167
5.8,11.6,85,1.3,46,61,25,33,1018.1,0,60.39383833
7.1,12,91,0.8,37,43,20,23,1017.2,0.4,70.81200667
7.8,12.1,92,0.7,33,44,18,24,1016.9,1,87.85517667
8.2,12.3,92,0.7,32,43,17,23,1016.9,1.6,86.58617167
5.9,12.2,89,1,46,59,25,32,1016.4,1.6,93.73417167
7.6,12.7,89,1,41,50,22,27,1015.9,1.6,88.28550833
6.7,11.7,84,1.4,43,52,23,28,1015.6,1.6,83.36517167
